  5101  6.2101e+02 -2.0962e+00  2.1019e+00 -1.1877e-01  2.9412e+02  3.6968e+02  5.0955e+00  4.3010e+00  7.9450e-01 -3.9480e-04  1.1806e+02  0.0000e+00  9.3178e-13  8.7215e-11
  5102  6.2102e+02 -2.0895e+00  2.1019e+00 -1.2548e-01  2.9412e+02  3.6969e+02  5.1632e+00  4.5669e+00  5.9630e-01 -4.6381e-04  1.3979e+02  0.0000e+00  9.3164e-13  8.7207e-11
  5103  6.2103e+02 -2.0858e+00  2.1019e+00 -1.2921e-01  2.9412e+02  3.6969e+02  5.2164e+00  4.7695e+00  4.4696e-01 -5.0650e-04  1.5207e+02  0.0000e+00  9.3157e-13  8.7197e-11
  5104  6.2104e+02 -2.0838e+00  2.1019e+00 -1.3117e-01  2.9412e+02  3.6970e+02  5.2461e+00  4.8893e+00  3.5687e-01 -5.3281e-04  1.5869e+02  0.0000e+00  9.3149e-13  8.7190e-11
  5105  6.2105e+02 -2.0828e+00  2.1019e+00 -1.3215e-01  2.9412e+02  3.6970e+02  5.2596e+00  4.9522e+00  3.0740e-01 -5.3939e-04  1.6216e+02  0.0000e+00  9.3135e-13  8.7180e-11
  5106  6.2106e+02 -2.0824e+00  2.1019e+00 -1.3262e-01  2.9412e+02  3.6970e+02  5.2664e+00  4.9862e+00  2.8022e-01 -5.4472e-04  1.6395e+02  0.0000e+00  9.3111e-13  8.7170e-11
  5107  6.2107e+02 -2.0821e+00  2.1019e+00 -1.3287e-01  2.9412e+02  3.6971e+02  5.2660e+00  4.9972e+00  2.6883e-01 -5.5437e-04  1.6508e+02  0.0000e+00  9.3076e-13  8.7162e-11
  5108  6.2108e+02 -2.0820e+00  2.1019e+00 -1.3301e-01  2.9412e+02  3.6971e+02  5.2649e+00  5.0025e+00  2.6243e-01 -5.5628e-04  1.6579e+02  0.0000e+00  9.3041e-13  8.7152e-11
  5109  6.2109e+02 -2.0819e+00  2.1019e+00 -1.3308e-01  2.9412e+02  3.6971e+02  5.2633e+00  5.0044e+00  2.5894e-01 -5.5885e-04  1.6628e+02  0.0000e+00  9.3019e-13  8.7143e-11
  5110  6.2110e+02 -2.0819e+00  2.1019e+00 -1.3312e-01  2.9412e+02  3.6972e+02  5.2617e+00  5.0047e+00  2.5705e-01 -5.5411e-04  1.6662e+02  0.0000e+00  9.2990e-13  8.7134e-11
